Date;Location;Field_Of_Study;Value
2006/2007;Newfoundland and Labrador;Total, field of study;2633
2007/2008;Newfoundland and Labrador;Total, field of study;2632
2008/2009;Newfoundland and Labrador;Total, field of study;2619
2009/2010;Newfoundland and Labrador;Total, field of study;2624
2010/2011;Newfoundland and Labrador;Total, field of study;2649
2011/2012;Newfoundland and Labrador;Total, field of study;2649
2012/2013;Newfoundland and Labrador;Total, field of study;2644
2013/2014;Newfoundland and Labrador;Total, field of study;2631
2014/2015;Newfoundland and Labrador;Total, field of study;2660
2015/2016;Newfoundland and Labrador;Total, field of study;2759
2016/2017;Newfoundland and Labrador;Total, field of study;2752
2017/2018;Newfoundland and Labrador;Total, field of study;2821
2018/2019;Newfoundland and Labrador;Total, field of study;2971
2019/2020;Newfoundland and Labrador;Total, field of study;2975
2020/2021;Newfoundland and Labrador;Total, field of study;3078
2021/2022;Newfoundland and Labrador;Total, field of study;3025
2022/2023;Newfoundland and Labrador;Total, field of study;3361
2023/2024;Newfoundland and Labrador;Total, field of study;3481
2006/2007;Newfoundland and Labrador;Education;2550
2007/2008;Newfoundland and Labrador;Education;2550
2008/2009;Newfoundland and Labrador;Education;2550
2009/2010;Newfoundland and Labrador;Education;2550
2010/2011;Newfoundland and Labrador;Education;2550
2011/2012;Newfoundland and Labrador;Education;2550
2012/2013;Newfoundland and Labrador;Education;2550
2013/2014;Newfoundland and Labrador;Education;2550
2014/2015;Newfoundland and Labrador;Education;2550
2015/2016;Newfoundland and Labrador;Education;2805
2016/2017;Newfoundland and Labrador;Education;2805
2017/2018;Newfoundland and Labrador;Education;2805
2018/2019;Newfoundland and Labrador;Education;2673
2019/2020;Newfoundland and Labrador;Education;2659
2020/2021;Newfoundland and Labrador;Education;2691
2021/2022;Newfoundland and Labrador;Education;2708
2022/2023;Newfoundland and Labrador;Education;3143
2023/2024;Newfoundland and Labrador;Education;3273
2006/2007;Newfoundland and Labrador;Visual and performing arts, and communications technologies;2550
2007/2008;Newfoundland and Labrador;Visual and performing arts, and communications technologies;2550
2008/2009;Newfoundland and Labrador;Visual and performing arts, and communications technologies;2550
2009/2010;Newfoundland and Labrador;Visual and performing arts, and communications technologies;2550
2010/2011;Newfoundland and Labrador;Visual and performing arts, and communications technologies;2550
2011/2012;Newfoundland and Labrador;Visual and performing arts, and communications technologies;2550
2012/2013;Newfoundland and Labrador;Visual and performing arts, and communications technologies;2550
2013/2014;Newfoundland and Labrador;Visual and performing arts, and communications technologies;2550
2014/2015;Newfoundland and Labrador;Visual and performing arts, and communications technologies;2550
2015/2016;Newfoundland and Labrador;Visual and performing arts, and communications technologies;2550
2016/2017;Newfoundland and Labrador;Visual and performing arts, and communications technologies;2550
2017/2018;Newfoundland and Labrador;Visual and performing arts, and communications technologies;2550
2018/2019;Newfoundland and Labrador;Visual and performing arts, and communications technologies;2725
2019/2020;Newfoundland and Labrador;Visual and performing arts, and communications technologies;2718
2020/2021;Newfoundland and Labrador;Visual and performing arts, and communications technologies;2708
2021/2022;Newfoundland and Labrador;Visual and performing arts, and communications technologies;2706
2022/2023;Newfoundland and Labrador;Visual and performing arts, and communications technologies;3281
2023/2024;Newfoundland and Labrador;Visual and performing arts, and communications technologies;3416
2006/2007;Newfoundland and Labrador;Humanities;2550
2007/2008;Newfoundland and Labrador;Humanities;2550
2008/2009;Newfoundland and Labrador;Humanities;2550
2009/2010;Newfoundland and Labrador;Humanities;2550
2010/2011;Newfoundland and Labrador;Humanities;2550
2011/2012;Newfoundland and Labrador;Humanities;2550
2012/2013;Newfoundland and Labrador;Humanities;2550
2013/2014;Newfoundland and Labrador;Humanities;2550
2014/2015;Newfoundland and Labrador;Humanities;2550
2015/2016;Newfoundland and Labrador;Humanities;2550
2016/2017;Newfoundland and Labrador;Humanities;2550
2017/2018;Newfoundland and Labrador;Humanities;2550
2018/2019;Newfoundland and Labrador;Humanities;2680
2019/2020;Newfoundland and Labrador;Humanities;2618
2020/2021;Newfoundland and Labrador;Humanities;2646
2021/2022;Newfoundland and Labrador;Humanities;2611
2022/2023;Newfoundland and Labrador;Humanities;2894
2023/2024;Newfoundland and Labrador;Humanities;3014
2006/2007;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;2550
2007/2008;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;2550
2008/2009;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;2550
2009/2010;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;2550
2010/2011;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;2550
2011/2012;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;2550
2012/2013;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;2550
2013/2014;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;2550
2014/2015;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;2550
2015/2016;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;2550
2016/2017;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;2550
2017/2018;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;2550
2018/2019;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;2709
2019/2020;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;2699
2020/2021;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;2658
2021/2022;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;2642
2022/2023;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;3021
2023/2024;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;3145
2006/2007;Newfoundland and Labrador;Business, management and public administration;2550
2007/2008;Newfoundland and Labrador;Business, management and public administration;2550
2008/2009;Newfoundland and Labrador;Business, management and public administration;2550
2009/2010;Newfoundland and Labrador;Business, management and public administration;2550
2010/2011;Newfoundland and Labrador;Business, management and public administration;2550
2011/2012;Newfoundland and Labrador;Business, management and public administration;2550
2012/2013;Newfoundland and Labrador;Business, management and public administration;2550
2013/2014;Newfoundland and Labrador;Business, management and public administration;2550
2014/2015;Newfoundland and Labrador;Business, management and public administration;2550
2015/2016;Newfoundland and Labrador;Business, management and public administration;2805
2016/2017;Newfoundland and Labrador;Business, management and public administration;2805
2017/2018;Newfoundland and Labrador;Business, management and public administration;2805
2018/2019;Newfoundland and Labrador;Business, management and public administration;2759
2019/2020;Newfoundland and Labrador;Business, management and public administration;2715
2020/2021;Newfoundland and Labrador;Business, management and public administration;2695
2021/2022;Newfoundland and Labrador;Business, management and public administration;2664
2022/2023;Newfoundland and Labrador;Business, management and public administration;2969
2023/2024;Newfoundland and Labrador;Business, management and public administration;3092
2006/2007;Newfoundland and Labrador;Physical and life sciences and technologies;2550
2007/2008;Newfoundland and Labrador;Physical and life sciences and technologies;2550
2008/2009;Newfoundland and Labrador;Physical and life sciences and technologies;2550
2009/2010;Newfoundland and Labrador;Physical and life sciences and technologies;2550
2010/2011;Newfoundland and Labrador;Physical and life sciences and technologies;2550
2011/2012;Newfoundland and Labrador;Physical and life sciences and technologies;2550
2012/2013;Newfoundland and Labrador;Physical and life sciences and technologies;2550
2013/2014;Newfoundland and Labrador;Physical and life sciences and technologies;2550
2014/2015;Newfoundland and Labrador;Physical and life sciences and technologies;2550
2015/2016;Newfoundland and Labrador;Physical and life sciences and technologies;2550
2016/2017;Newfoundland and Labrador;Physical and life sciences and technologies;2550
2017/2018;Newfoundland and Labrador;Physical and life sciences and technologies;2550
2018/2019;Newfoundland and Labrador;Physical and life sciences and technologies;2714
2019/2020;Newfoundland and Labrador;Physical and life sciences and technologies;2687
2020/2021;Newfoundland and Labrador;Physical and life sciences and technologies;2666
2021/2022;Newfoundland and Labrador;Physical and life sciences and technologies;2652
2022/2023;Newfoundland and Labrador;Physical and life sciences and technologies;3058
2023/2024;Newfoundland and Labrador;Physical and life sciences and technologies;3184
2006/2007;Newfoundland and Labrador;Mathematics, computer and information sciences;2550
2007/2008;Newfoundland and Labrador;Mathematics, computer and information sciences;2550
2008/2009;Newfoundland and Labrador;Mathematics, computer and information sciences;2550
2009/2010;Newfoundland and Labrador;Mathematics, computer and information sciences;2550
2010/2011;Newfoundland and Labrador;Mathematics, computer and information sciences;2550
2011/2012;Newfoundland and Labrador;Mathematics, computer and information sciences;2550
2012/2013;Newfoundland and Labrador;Mathematics, computer and information sciences;2550
2013/2014;Newfoundland and Labrador;Mathematics, computer and information sciences;2550
2014/2015;Newfoundland and Labrador;Mathematics, computer and information sciences;2550
2015/2016;Newfoundland and Labrador;Mathematics, computer and information sciences;2550
2016/2017;Newfoundland and Labrador;Mathematics, computer and information sciences;2550
2017/2018;Newfoundland and Labrador;Mathematics, computer and information sciences;2550
2018/2019;Newfoundland and Labrador;Mathematics, computer and information sciences;2691
2019/2020;Newfoundland and Labrador;Mathematics, computer and information sciences;2688
2020/2021;Newfoundland and Labrador;Mathematics, computer and information sciences;2667
2021/2022;Newfoundland and Labrador;Mathematics, computer and information sciences;2644
2022/2023;Newfoundland and Labrador;Mathematics, computer and information sciences;3010
2023/2024;Newfoundland and Labrador;Mathematics, computer and information sciences;3134
2006/2007;Newfoundland and Labrador;Engineering;2550
2007/2008;Newfoundland and Labrador;Engineering;2550
2008/2009;Newfoundland and Labrador;Engineering;2550
2009/2010;Newfoundland and Labrador;Engineering;2550
2010/2011;Newfoundland and Labrador;Engineering;2550
2011/2012;Newfoundland and Labrador;Engineering;2550
2012/2013;Newfoundland and Labrador;Engineering;2550
2013/2014;Newfoundland and Labrador;Engineering;2550
2014/2015;Newfoundland and Labrador;Engineering;2550
2015/2016;Newfoundland and Labrador;Engineering;2805
2016/2017;Newfoundland and Labrador;Engineering;2805
2017/2018;Newfoundland and Labrador;Engineering;2805
2018/2019;Newfoundland and Labrador;Engineering;2770
2019/2020;Newfoundland and Labrador;Engineering;2765
2020/2021;Newfoundland and Labrador;Engineering;2756
2021/2022;Newfoundland and Labrador;Engineering;2726
2022/2023;Newfoundland and Labrador;Engineering;3145
2023/2024;Newfoundland and Labrador;Engineering;3274
2017/2018;Newfoundland and Labrador;Agriculture, natural resources and conservation;2550
2018/2019;Newfoundland and Labrador;Agriculture, natural resources and conservation;2780
2019/2020;Newfoundland and Labrador;Agriculture, natural resources and conservation;2745
2020/2021;Newfoundland and Labrador;Agriculture, natural resources and conservation;2766
2021/2022;Newfoundland and Labrador;Agriculture, natural resources and conservation;2800
2022/2023;Newfoundland and Labrador;Agriculture, natural resources and conservation;3725
2023/2024;Newfoundland and Labrador;Agriculture, natural resources and conservation;3876
2006/2007;Newfoundland and Labrador;Medicine;6250
2007/2008;Newfoundland and Labrador;Medicine;6250
2008/2009;Newfoundland and Labrador;Medicine;6250
2009/2010;Newfoundland and Labrador;Medicine;6250
2010/2011;Newfoundland and Labrador;Medicine;6250
2011/2012;Newfoundland and Labrador;Medicine;6250
2012/2013;Newfoundland and Labrador;Medicine;6250
2013/2014;Newfoundland and Labrador;Medicine;6250
2014/2015;Newfoundland and Labrador;Medicine;6250
2015/2016;Newfoundland and Labrador;Medicine;6250
2016/2017;Newfoundland and Labrador;Medicine;6250
2017/2018;Newfoundland and Labrador;Medicine;8250
2018/2019;Newfoundland and Labrador;Medicine;10250
2019/2020;Newfoundland and Labrador;Medicine;12250
2020/2021;Newfoundland and Labrador;Medicine;14250
2021/2022;Newfoundland and Labrador;Medicine;14250
2022/2023;Newfoundland and Labrador;Medicine;14250
2023/2024;Newfoundland and Labrador;Medicine;14250
2007/2008;Newfoundland and Labrador;Nursing;2550
2008/2009;Newfoundland and Labrador;Nursing;2550
2009/2010;Newfoundland and Labrador;Nursing;2550
2010/2011;Newfoundland and Labrador;Nursing;2550
2011/2012;Newfoundland and Labrador;Nursing;2550
2012/2013;Newfoundland and Labrador;Nursing;2550
2013/2014;Newfoundland and Labrador;Nursing;2550
2014/2015;Newfoundland and Labrador;Nursing;2550
2015/2016;Newfoundland and Labrador;Nursing;2550
2016/2017;Newfoundland and Labrador;Nursing;2550
2017/2018;Newfoundland and Labrador;Nursing;2550
2018/2019;Newfoundland and Labrador;Nursing;2640
2019/2020;Newfoundland and Labrador;Nursing;2626
2020/2021;Newfoundland and Labrador;Nursing;2616
2021/2022;Newfoundland and Labrador;Nursing;2607
2022/2023;Newfoundland and Labrador;Nursing;2866
2023/2024;Newfoundland and Labrador;Nursing;2985
2007/2008;Newfoundland and Labrador;Pharmacy;2550
2008/2009;Newfoundland and Labrador;Pharmacy;2550
2009/2010;Newfoundland and Labrador;Pharmacy;2550
2010/2011;Newfoundland and Labrador;Pharmacy;2550
2011/2012;Newfoundland and Labrador;Pharmacy;2550
2012/2013;Newfoundland and Labrador;Pharmacy;2550
2013/2014;Newfoundland and Labrador;Pharmacy;2550
2014/2015;Newfoundland and Labrador;Pharmacy;2550
2015/2016;Newfoundland and Labrador;Pharmacy;2805
2016/2017;Newfoundland and Labrador;Pharmacy;2805
2017/2018;Newfoundland and Labrador;Pharmacy;2805
2018/2019;Newfoundland and Labrador;Pharmacy;2843
2019/2020;Newfoundland and Labrador;Pharmacy;2870
2020/2021;Newfoundland and Labrador;Pharmacy;2839
2021/2022;Newfoundland and Labrador;Pharmacy;2824
2022/2023;Newfoundland and Labrador;Pharmacy;2650
2023/2024;Newfoundland and Labrador;Pharmacy;2760
2006/2007;Newfoundland and Labrador;Other health, parks, recreation and fitness;2550
2007/2008;Newfoundland and Labrador;Other health, parks, recreation and fitness;2550
2008/2009;Newfoundland and Labrador;Other health, parks, recreation and fitness;2550
2009/2010;Newfoundland and Labrador;Other health, parks, recreation and fitness;2550
2010/2011;Newfoundland and Labrador;Other health, parks, recreation and fitness;2550
2011/2012;Newfoundland and Labrador;Other health, parks, recreation and fitness;2550
2012/2013;Newfoundland and Labrador;Other health, parks, recreation and fitness;2550
2013/2014;Newfoundland and Labrador;Other health, parks, recreation and fitness;2550
2014/2015;Newfoundland and Labrador;Other health, parks, recreation and fitness;2550
2015/2016;Newfoundland and Labrador;Other health, parks, recreation and fitness;2550
2016/2017;Newfoundland and Labrador;Other health, parks, recreation and fitness;2550
2017/2018;Newfoundland and Labrador;Other health, parks, recreation and fitness;2550
2018/2019;Newfoundland and Labrador;Other health, parks, recreation and fitness;2694
2019/2020;Newfoundland and Labrador;Other health, parks, recreation and fitness;2682
2020/2021;Newfoundland and Labrador;Other health, parks, recreation and fitness;2629
2021/2022;Newfoundland and Labrador;Other health, parks, recreation and fitness;2618
2022/2023;Newfoundland and Labrador;Other health, parks, recreation and fitness;2909
2023/2024;Newfoundland and Labrador;Other health, parks, recreation and fitness;3029
2016/2017;Newfoundland and Labrador;Personal, protective and transportation services;2550
2017/2018;Newfoundland and Labrador;Personal, protective and transportation services;2550
2018/2019;Newfoundland and Labrador;Personal, protective and transportation services;2634
2019/2020;Newfoundland and Labrador;Personal, protective and transportation services;2603
2020/2021;Newfoundland and Labrador;Personal, protective and transportation services;2589
2021/2022;Newfoundland and Labrador;Personal, protective and transportation services;2596
2022/2023;Newfoundland and Labrador;Personal, protective and transportation services;2855
2023/2024;Newfoundland and Labrador;Personal, protective and transportation services;2973
2006/2007;Prince Edward Island;Total, field of study;4920
2007/2008;Prince Edward Island;Total, field of study;4440
2008/2009;Prince Edward Island;Total, field of study;4530
2009/2010;Prince Edward Island;Total, field of study;4969
2010/2011;Prince Edward Island;Total, field of study;5131
2011/2012;Prince Edward Island;Total, field of study;5258
2012/2013;Prince Edward Island;Total, field of study;5474
2013/2014;Prince Edward Island;Total, field of study;5688
2014/2015;Prince Edward Island;Total, field of study;5849
2015/2016;Prince Edward Island;Total, field of study;6130
2016/2017;Prince Edward Island;Total, field of study;6310
2017/2018;Prince Edward Island;Total, field of study;6485
2018/2019;Prince Edward Island;Total, field of study;6632
2019/2020;Prince Edward Island;Total, field of study;6748
2020/2021;Prince Edward Island;Total, field of study;6881
2021/2022;Prince Edward Island;Total, field of study;6951
2022/2023;Prince Edward Island;Total, field of study;7085
2023/2024;Prince Edward Island;Total, field of study;7381
2006/2007;Prince Edward Island;Education;4920
2007/2008;Prince Edward Island;Education;4440
2008/2009;Prince Edward Island;Education;4530
2009/2010;Prince Edward Island;Education;4710
2010/2011;Prince Edward Island;Education;4860
2011/2012;Prince Edward Island;Education;4950
2012/2013;Prince Edward Island;Education;5150
2013/2014;Prince Edward Island;Education;5360
2014/2015;Prince Edward Island;Education;5520
2015/2016;Prince Edward Island;Education;7522
2016/2017;Prince Edward Island;Education;7673
2017/2018;Prince Edward Island;Education;8031
2018/2019;Prince Edward Island;Education;8191
2019/2020;Prince Edward Island;Education;8360
2020/2021;Prince Edward Island;Education;8524
2021/2022;Prince Edward Island;Education;8604
2022/2023;Prince Edward Island;Education;8764
2023/2024;Prince Edward Island;Education;9109
2006/2007;Prince Edward Island;Visual and performing arts, and communications technologies;4920
